dim blocks threads naive shared
100 10 4 0.019456 0.029696
100 10 8 0.013312 0.013312
100 10 12 0.012288 0.012288
100 10 16 0.011264 0.016384
100 10 20 0.011264 0.011264
100 10 24 0.011264 0.021504
100 10 28 0.011264 0.018432
100 10 32 0.012288 0.011264
100 20 4 0.013312 0.017408
100 20 8 0.009216 0.010240
100 20 12 0.011264 0.011264
100 20 16 0.011264 0.010240
100 20 20 0.011264 0.010240
100 20 24 0.020480 0.011264
100 20 28 0.011264 0.015360
100 20 32 0.011264 0.012288
100 30 4 0.010240 0.013312
100 30 8 0.010240 0.009216
100 30 12 0.010240 0.012288
100 30 16 0.011264 0.010240
100 30 20 0.011264 0.011264
100 30 24 0.011264 0.011264
100 30 28 0.010240 0.010240
100 30 32 0.011264 0.011264
100 40 4 0.010240 0.012288
100 40 8 0.009216 0.008192
100 40 12 0.011136 0.018432
100 40 16 0.010240 0.009216
100 40 20 0.011264 0.011264
100 40 24 0.011264 0.010240
100 40 28 0.015360 0.021504
100 40 32 0.011264 0.011264
100 50 4 0.009216 0.011264
100 50 8 0.009216 0.008192
100 50 12 0.011264 0.009216
100 50 16 0.011264 0.009216
100 50 20 0.011264 0.011264
100 50 24 0.011264 0.018432
100 50 28 0.011264 0.010240
100 50 32 0.011264 0.021504
100 60 4 0.009216 0.018432
100 60 8 0.008192 0.008192
100 60 12 0.011264 0.009216
100 60 16 0.011264 0.010240
100 60 20 0.011264 0.015360
100 60 24 0.011264 0.011264
100 60 28 0.012288 0.017408
100 60 32 0.012288 0.013312
100 70 4 0.009216 0.009216
100 70 8 0.008192 0.008192
100 70 12 0.010240 0.009216
100 70 16 0.011264 0.009216
100 70 20 0.019456 0.018432
100 70 24 0.011264 0.011264
100 70 28 0.011264 0.011264
100 70 32 0.013312 0.014336
100 80 4 0.009216 0.009216
100 80 8 0.008192 0.008192
100 80 12 0.011264 0.010240
100 80 16 0.011264 0.010240
100 80 20 0.011264 0.011264
100 80 24 0.011264 0.011264
100 80 28 0.012288 0.013312
100 80 32 0.013312 0.014336
100 90 4 0.009216 0.009216
100 90 8 0.009216 0.008192
100 90 12 0.011264 0.009216
100 90 16 0.011264 0.010240
100 90 20 0.012288 0.010240
100 90 24 0.011264 0.011264
100 90 28 0.013312 0.021504
100 90 32 0.014336 0.014336
100 100 4 0.009216 0.009216
100 100 8 0.009216 0.008192
100 100 12 0.011264 0.009216
100 100 16 0.019456 0.009216
100 100 20 0.026624 0.011264
100 100 24 0.011264 0.012288
100 100 28 0.013312 0.013312
100 100 32 0.022528 0.022528
200 10 4 0.055296 0.103424
200 10 8 0.027424 0.031744
200 10 12 0.024576 0.031744
200 10 16 0.024320 0.027648
200 10 20 0.023424 0.024576
200 10 24 0.025472 0.028672
200 10 28 0.023552 0.027648
200 10 32 0.025184 0.026624
200 20 4 0.031616 0.055296
200 20 8 0.017024 0.022528
200 20 12 0.025376 0.027648
200 20 16 0.023936 0.026624
200 20 20 0.023456 0.024576
200 20 24 0.022176 0.024576
200 20 28 0.023904 0.025600
200 20 32 0.023104 0.026624
200 30 4 0.025600 0.039936
200 30 8 0.023968 0.018432
200 30 12 0.023936 0.025600
200 30 16 0.023936 0.025600
200 30 20 0.023936 0.025600
200 30 24 0.023040 0.024576
200 30 28 0.023360 0.026624
200 30 32 0.023264 0.028672
200 40 4 0.021216 0.031744
200 40 8 0.015328 0.017408
200 40 12 0.023936 0.023552
200 40 16 0.022848 0.023552
200 40 20 0.023552 0.024576
200 40 24 0.023360 0.024576
200 40 28 0.023328 0.026624
200 40 32 0.023104 0.027648
200 50 4 0.018976 0.027648
200 50 8 0.015360 0.016384
200 50 12 0.024256 0.023552
200 50 16 0.023136 0.021504
200 50 20 0.024032 0.024576
200 50 24 0.022304 0.023552
200 50 28 0.023008 0.027648
200 50 32 0.023872 0.027648
200 60 4 0.017312 0.025600
200 60 8 0.015200 0.015360
200 60 12 0.024384 0.022528
200 60 16 0.023328 0.022528
200 60 20 0.022528 0.025600
200 60 24 0.023264 0.023552
200 60 28 0.023136 0.026624
200 60 32 0.022432 0.028672
200 70 4 0.017792 0.023552
200 70 8 0.014752 0.014336
200 70 12 0.023296 0.022528
200 70 16 0.022528 0.021504
200 70 20 0.023104 0.024576
200 70 24 0.022528 0.024576
200 70 28 0.023392 0.027648
200 70 32 0.022528 0.028672
200 80 4 0.017056 0.023552
200 80 8 0.015360 0.014336
200 80 12 0.024992 0.022528
200 80 16 0.023392 0.023552
200 80 20 0.023520 0.025600
200 80 24 0.022528 0.024576
200 80 28 0.022528 0.026624
200 80 32 0.023104 0.028672
200 90 4 0.017088 0.021504
200 90 8 0.014880 0.013312
200 90 12 0.022528 0.023552
200 90 16 0.022528 0.023552
200 90 20 0.022944 0.024576
200 90 24 0.023136 0.025600
200 90 28 0.024160 0.026624
200 90 32 0.022880 0.029696
200 100 4 0.016384 0.021504
200 100 8 0.023040 0.014336
200 100 12 0.023520 0.021504
200 100 16 0.022528 0.022528
200 100 20 0.023200 0.024576
200 100 24 0.023232 0.024576
200 100 28 0.022976 0.027648
200 100 32 0.024384 0.028672
300 10 4 0.181600 0.290816
300 10 8 0.057344 0.089088
300 10 12 0.047776 0.066560
300 10 16 0.048128 0.060416
300 10 20 0.045408 0.053248
300 10 24 0.046048 0.058368
300 10 28 0.046880 0.056320
300 10 32 0.045664 0.058368
300 20 4 0.095200 0.149504
300 20 8 0.037504 0.054272
300 20 12 0.048960 0.058368
300 20 16 0.046912 0.052224
300 20 20 0.045056 0.050176
300 20 24 0.048128 0.050176
300 20 28 0.047008 0.054272
300 20 32 0.044896 0.055296
300 30 4 0.068544 0.105472
300 30 8 0.030176 0.043008
300 30 12 0.046720 0.054272
300 30 16 0.045440 0.048128
300 30 20 0.053152 0.057344
300 30 24 0.045824 0.052224
300 30 28 0.045824 0.054272
300 30 32 0.045024 0.056320
300 40 4 0.054272 0.080896
300 40 8 0.028512 0.037888
300 40 12 0.046976 0.046080
300 40 16 0.046464 0.050176
300 40 20 0.046848 0.050176
300 40 24 0.046016 0.052224
300 40 28 0.045728 0.052224
300 40 32 0.045056 0.055296
300 50 4 0.046944 0.070656
300 50 8 0.028192 0.032768
300 50 12 0.047104 0.047104
300 50 16 0.045856 0.050176
300 50 20 0.045440 0.051200
300 50 24 0.044384 0.050176
300 50 28 0.046080 0.053248
300 50 32 0.044672 0.056320
300 60 4 0.041824 0.063488
300 60 8 0.027520 0.030720
300 60 12 0.046656 0.045056
300 60 16 0.047040 0.054272
300 60 20 0.044032 0.052224
300 60 24 0.044928 0.051200
300 60 28 0.044032 0.053248
300 60 32 0.044032 0.055296
300 70 4 0.037888 0.055296
300 70 8 0.028128 0.028672
300 70 12 0.045568 0.051200
300 70 16 0.045056 0.048128
300 70 20 0.044800 0.052224
300 70 24 0.044032 0.051200
300 70 28 0.044640 0.054272
300 70 32 0.044480 0.056320
300 80 4 0.034816 0.052224
300 80 8 0.027648 0.027648
300 80 12 0.046848 0.053248
300 80 16 0.046080 0.047104
300 80 20 0.054272 0.050176
300 80 24 0.044032 0.050176
300 80 28 0.044640 0.053280
300 80 32 0.044736 0.055296
300 90 4 0.032768 0.047104
300 90 8 0.027552 0.027648
300 90 12 0.047104 0.051200
300 90 16 0.044032 0.046080
300 90 20 0.044032 0.047104
300 90 24 0.044480 0.049152
300 90 28 0.045056 0.053248
300 90 32 0.044768 0.057344
300 100 4 0.032768 0.045056
300 100 8 0.028096 0.027648
300 100 12 0.045056 0.046080
300 100 16 0.043776 0.047104
300 100 20 0.045056 0.052224
300 100 24 0.045024 0.050176
300 100 28 0.044480 0.055296
300 100 32 0.044480 0.059392
400 10 4 0.328640 0.509952
400 10 8 0.096896 0.145408
400 10 12 0.079296 0.118784
400 10 16 0.075552 0.095232
400 10 20 0.075744 0.089088
400 10 24 0.076352 0.093184
400 10 28 0.075424 0.091136
400 10 32 0.075776 0.099328
400 20 4 0.166656 0.261120
400 20 8 0.061440 0.089088
400 20 12 0.077472 0.096256
400 20 16 0.074112 0.087040
400 20 20 0.075136 0.080896
400 20 24 0.079872 0.098304
400 20 28 0.076384 0.091136
400 20 32 0.074112 0.092160
400 30 4 0.116128 0.179200
400 30 8 0.048960 0.068608
400 30 12 0.077216 0.082944
400 30 16 0.074592 0.081920
400 30 20 0.076800 0.081920
400 30 24 0.075328 0.082944
400 30 28 0.074176 0.088064
400 30 32 0.073728 0.095232
400 40 4 0.093536 0.140288
400 40 8 0.051936 0.061440
400 40 12 0.077120 0.078848
400 40 16 0.074208 0.081920
400 40 20 0.076288 0.087040
400 40 24 0.079872 0.090112
400 40 28 0.072576 0.088064
400 40 32 0.073280 0.094208
400 50 4 0.079872 0.114688
400 50 8 0.043008 0.050176
400 50 12 0.077536 0.074752
400 50 16 0.078848 0.086016
400 50 20 0.076800 0.090112
400 50 24 0.073408 0.090112
400 50 28 0.072448 0.089088
400 50 32 0.071488 0.091136
400 60 4 0.071136 0.104448
400 60 8 0.043008 0.049152
400 60 12 0.077120 0.077824
400 60 16 0.074752 0.094208
400 60 20 0.076800 0.084992
400 60 24 0.073344 0.087040
400 60 28 0.072704 0.091136
400 60 32 0.072320 0.090112
400 70 4 0.062304 0.093184
400 70 8 0.041984 0.045056
400 70 12 0.072480 0.078848
400 70 16 0.077824 0.084992
400 70 20 0.073504 0.083968
400 70 24 0.072480 0.084992
400 70 28 0.072352 0.088064
400 70 32 0.071680 0.092160
400 80 4 0.058336 0.084992
400 80 8 0.041984 0.043008
400 80 12 0.079456 0.091136
400 80 16 0.077184 0.080896
400 80 20 0.074208 0.081920
400 80 24 0.073728 0.086016
400 80 28 0.072704 0.089088
400 80 32 0.071328 0.104448
400 90 4 0.056704 0.075776
400 90 8 0.042656 0.043008
400 90 12 0.076576 0.094208
400 90 16 0.070976 0.081920
400 90 20 0.074112 0.081920
400 90 24 0.072640 0.083968
400 90 28 0.072544 0.089088
400 90 32 0.072320 0.089088
400 100 4 0.052736 0.072704
400 100 8 0.042752 0.044032
400 100 12 0.075616 0.078848
400 100 16 0.075200 0.084992
400 100 20 0.074720 0.081920
400 100 24 0.072704 0.083968
400 100 28 0.073600 0.087040
400 100 32 0.071360 0.093184
500 10 4 0.496064 0.799744
500 10 8 0.148960 0.230112
500 10 12 0.131840 0.188416
500 10 16 0.129024 0.160768
500 10 20 0.121664 0.144384
500 10 24 0.125920 0.147456
500 10 28 0.125952 0.149504
500 10 32 0.120640 0.154624
500 20 4 0.252928 0.402432
500 20 8 0.093184 0.137216
500 20 12 0.125952 0.152576
500 20 16 0.122560 0.146432
500 20 20 0.119808 0.131072
