dim blocks threads naive shared
100 10 4 0.019456 0.029696
100 10 8 0.011264 0.013312
100 10 12 0.017408 0.016384
100 10 16 0.011264 0.011264
100 10 20 0.010240 0.010240
100 10 24 0.011264 0.019456
100 10 28 0.012288 0.010240
100 10 32 0.022528 0.011264
100 20 4 0.013312 0.017408
100 20 8 0.010240 0.010240
100 20 12 0.011264 0.011264
100 20 16 0.011264 0.015360
100 20 20 0.011264 0.009216
100 20 24 0.011264 0.010240
100 20 28 0.011264 0.010240
100 20 32 0.012288 0.019456
100 30 4 0.020480 0.018432
100 30 8 0.010240 0.010240
100 30 12 0.018432 0.009216
100 30 16 0.018432 0.018432
100 30 20 0.010240 0.015360
100 30 24 0.010240 0.010240
100 30 28 0.014336 0.019456
100 30 32 0.011264 0.010240
100 40 4 0.011264 0.011264
100 40 8 0.009216 0.009216
100 40 12 0.011264 0.010240
100 40 16 0.011264 0.009216
100 40 20 0.010240 0.009216
100 40 24 0.011264 0.009216
100 40 28 0.018432 0.018432
100 40 32 0.011264 0.010240
100 50 4 0.010240 0.011264
100 50 8 0.009216 0.008192
100 50 12 0.011264 0.010240
100 50 16 0.011264 0.010240
100 50 20 0.010240 0.010240
100 50 24 0.011264 0.018432
100 50 28 0.012288 0.011264
100 50 32 0.019456 0.011264
100 60 4 0.010240 0.010240
100 60 8 0.008192 0.008192
100 60 12 0.011264 0.009216
100 60 16 0.011264 0.009216
100 60 20 0.010272 0.013312
100 60 24 0.011264 0.010240
100 60 28 0.011264 0.011264
100 60 32 0.012288 0.011264
100 70 4 0.010240 0.010240
100 70 8 0.009216 0.007168
100 70 12 0.018432 0.009216
100 70 16 0.011264 0.010240
100 70 20 0.011264 0.009216
100 70 24 0.011264 0.011264
100 70 28 0.012288 0.021504
100 70 32 0.013312 0.012288
100 80 4 0.010240 0.009216
100 80 8 0.009216 0.007168
100 80 12 0.011264 0.010240
100 80 16 0.011264 0.010240
100 80 20 0.010240 0.016384
100 80 24 0.011264 0.010240
100 80 28 0.013312 0.012288
100 80 32 0.024576 0.015360
100 90 4 0.009216 0.010240
100 90 8 0.009216 0.018432
100 90 12 0.024576 0.010240
100 90 16 0.011264 0.010240
100 90 20 0.011264 0.010240
100 90 24 0.011264 0.011264
100 90 28 0.013312 0.017408
100 90 32 0.014336 0.014336
100 100 4 0.009216 0.009216
100 100 8 0.009216 0.008160
100 100 12 0.011264 0.010240
100 100 16 0.017408 0.009216
100 100 20 0.010240 0.020480
100 100 24 0.010240 0.012288
100 100 28 0.014336 0.013312
100 100 32 0.015360 0.014336
200 10 4 0.056320 0.100352
200 10 8 0.022016 0.030720
200 10 12 0.024576 0.027648
200 10 16 0.024320 0.024576
200 10 20 0.023936 0.030720
200 10 24 0.038912 0.024576
200 10 28 0.023552 0.024576
200 10 32 0.024960 0.024576
200 20 4 0.032672 0.054272
200 20 8 0.017280 0.021504
200 20 12 0.024480 0.025600
200 20 16 0.023552 0.023552
200 20 20 0.023552 0.022528
200 20 24 0.023136 0.024576
200 20 28 0.023552 0.023552
200 20 32 0.032544 0.022528
200 30 4 0.025568 0.037888
200 30 8 0.016064 0.017408
200 30 12 0.024288 0.023552
200 30 16 0.023296 0.021504
200 30 20 0.023904 0.022528
200 30 24 0.023040 0.021504
200 30 28 0.023072 0.024576
200 30 32 0.023264 0.024576
200 40 4 0.021344 0.031744
200 40 8 0.020160 0.017408
200 40 12 0.024096 0.025600
200 40 16 0.022528 0.022528
200 40 20 0.023360 0.030720
200 40 24 0.035840 0.030720
200 40 28 0.022976 0.022528
200 40 32 0.023904 0.022528
200 50 4 0.019456 0.029696
200 50 8 0.015360 0.015360
200 50 12 0.023520 0.022528
200 50 16 0.023200 0.022528
200 50 20 0.024320 0.022528
200 50 24 0.022912 0.022528
200 50 28 0.023968 0.023552
200 50 32 0.023552 0.022528
200 60 4 0.017888 0.025600
200 60 8 0.015360 0.014336
200 60 12 0.023552 0.023552
200 60 16 0.023040 0.021504
200 60 20 0.022528 0.021504
200 60 24 0.023008 0.022528
200 60 28 0.022880 0.022528
200 60 32 0.023392 0.031744
200 70 4 0.016992 0.025600
200 70 8 0.015008 0.014336
200 70 12 0.023104 0.027648
200 70 16 0.023488 0.021504
200 70 20 0.027008 0.022528
200 70 24 0.023104 0.022528
200 70 28 0.023552 0.022528
200 70 32 0.022528 0.024576
200 80 4 0.016960 0.022528
200 80 8 0.015232 0.014336
200 80 12 0.024064 0.024576
200 80 16 0.023424 0.022528
200 80 20 0.023552 0.022528
200 80 24 0.022880 0.022528
200 80 28 0.023200 0.023552
200 80 32 0.023008 0.024576
200 90 4 0.019296 0.021504
200 90 8 0.025600 0.014336
200 90 12 0.023552 0.022528
200 90 16 0.022912 0.021504
200 90 20 0.023008 0.021504
200 90 24 0.023264 0.022528
200 90 28 0.023328 0.023552
200 90 32 0.023360 0.024576
200 100 4 0.024576 0.021504
200 100 8 0.015904 0.014336
200 100 12 0.023136 0.022528
200 100 16 0.022528 0.021504
200 100 20 0.022976 0.022528
200 100 24 0.022528 0.022528
200 100 28 0.023552 0.024576
200 100 32 0.024224 0.024576
300 10 4 0.183168 0.281600
300 10 8 0.059936 0.086016
300 10 12 0.047808 0.057344
300 10 16 0.048544 0.049152
300 10 20 0.045056 0.051200
300 10 24 0.047040 0.047104
300 10 28 0.047712 0.049152
300 10 32 0.045856 0.049152
300 20 4 0.095968 0.144384
300 20 8 0.038880 0.052224
300 20 12 0.046624 0.046080
300 20 16 0.053248 0.047104
300 20 20 0.045024 0.046080
300 20 24 0.046080 0.046080
300 20 28 0.047040 0.048128
300 20 32 0.044704 0.046080
300 30 4 0.068608 0.101376
300 30 8 0.031616 0.041984
300 30 12 0.045952 0.046080
300 30 16 0.045568 0.046080
300 30 20 0.047520 0.047104
300 30 24 0.045056 0.045056
300 30 28 0.055136 0.045056
300 30 32 0.045024 0.044032
300 40 4 0.055040 0.080896
300 40 8 0.028384 0.035840
300 40 12 0.046944 0.046080
300 40 16 0.045856 0.044032
300 40 20 0.047104 0.047104
300 40 24 0.046016 0.047104
300 40 28 0.044992 0.046080
300 40 32 0.045952 0.046080
300 50 4 0.048128 0.069632
300 50 8 0.029184 0.030720
300 50 12 0.046880 0.046080
300 50 16 0.046080 0.047104
300 50 20 0.045984 0.045056
